f0,f1,f2,f3,f4,target
0.4521860777713435,0.48842882013306294,0.35707219745739605,0.5308549782810312,0.45286070765712794,0
0.5582033227445968,0.6447917196404424,0.45610737009474045,0.474996360318803,0.39237292625608167,1
0.5841176859976601,0.3904840598871714,0.3746077806263617,0.37835521790783244,0.5298691016755446,0
0.43610347945925854,0.3460147917253198,0.8080657901857187,0.45672119372345277,0.542124556160717,0
0.6025000026422346,0.5526542047464592,0.5282239685179759,0.6236039759691208,0.5031821609663258,1
0.4846448625206529,0.5689813879937979,0.41018290342825764,0.3885690440794543,0.6774791003652968,1
0.6359412583332295,0.4145645857836798,0.5736721362247493,0.5079296480022755,0.6144070891306126,1
0.44032415776900635,0.47380179341787276,0.6518018161974742,0.5462364501968241,0.463343322396889,0
0.5464469806212056,0.5309661378487647,0.48175446318495374,0.3780546665396974,0.569445106864078,1
0.6195081978918939,0.37711255111299613,0.4263391135210249,0.40022886752462605,0.4273853182376989,0
0.4669840098757038,0.3991394134813649,0.4586126616809082,0.5776024507925902,0.4439731597481372,0
0.588475339311556,0.511297454984911,0.3360816568714394,0.6536575476295956,0.4744584066965337,1
0.5737224839208666,0.5309810636359634,0.5126969526627748,0.3423904347360842,0.464970909877797,1
0.44542432180784064,0.4043264348460559,0.5092654114984906,0.5585340444854864,0.5321523002506693,0
0.527948416658296,0.5730738408052085,0.42202852212820585,0.4107418378602272,0.52456218258121,1
0.4085278062413065,0.46798136622779235,0.5939955298675086,0.41587265478766583,0.45969175073798607,0
0.5419393932406465,0.45718926725260073,0.4404632389074239,0.7383083715745599,0.4749399262371843,0
0.4749902187042194,0.49607240099182764,0.4649235278157191,0.569847102094586,0.4379838605817309,0
0.4101434773992054,0.3916837970918453,0.5427740048154795,0.47676997156114104,0.3140400119373287,0
0.38481587472629686,0.2607147350796799,0.6202681411991315,0.5702315251242707,0.7062725022118711,0
0.5634047738529693,0.41282292446775554,0.4926568139109163,0.5374960820823373,0.4167600772039445,0
0.44358889997326056,0.41883661529631927,0.5435456660674272,0.5875490022627587,0.44935539860420587,0
0.48027346720741454,0.5919040669247776,0.35662663422336116,0.5147978684146008,0.4303725151265664,1
0.602618267551389,0.2739816786940895,0.4932272058186912,0.489128044211018,0.33848376604094355,0
